anio,mes,origen,destino,producto,toneladas,precio
2018,Abril,Caldas,Taiwán- Provincia de China,Café,171.51,610.55
2018,Abril,Cauca,Taiwán- Provincia de China,Café,19.23,59.16
2018,Abril,Risaralda,Taiwán- Provincia de China,Café,270.36,838.06
2018,Abril,Valle del Cauca,Taiwán- Provincia de China,Café,38.43,114.42
2018,Abril,Quindío,Otros,Café,160.49,514.96
2018,Abril,Antioquia,El Salvador,Café,2.9,30.18
2018,Abril,Bogotá,El Salvador,Café,3.02,100.4
2018,Abril,Caldas,Emiratos Árabes,Café,38.47,126.9
2018,Abril,Antioquia,España,Café,336.93,1114.4
2018,Abril,Huila,España,Café,690.25,2169.92
2018,Abril,Caquetá,Estados Unidos,Café,9.93,53.69
2018,Abril,Cundinamarca,Estados Unidos,Café,558.05,1717.97
2018,Abril,Nariño,Estados Unidos,Café,17.47,57.53
2018,Abril,Valle del Cauca,Estados Unidos,Café,2054.67,6758.030000000001
2018,Abril,Risaralda,Otros,Café,136.69,452.11
2018,Abril,Cauca,Finlandia,Café,104.72,350.92
2018,Abril,Huila,Finlandia,Café,249.37,841.36
2018,Abril,Nariño,Finlandia,Café,41.97,126.3
2018,Abril,Tolima,Finlandia,Café,20.98,63.69
2018,Abril,Valle del Cauca,Finlandia,Café,270.58,942.8599999999999
2018,Abril,Cundinamarca,Francia,Café,19.97,64.44
2018,Abril,Risaralda,Francia,Café,76.86,245.11
2018,Abril,Cauca,Grecia,Café,19.96,62.18
2018,Abril,Risaralda,Grecia,Café,59.82,183.74
2018,Abril,Caldas,Guatemala,Café,4.93,54.56
2018,Abril,Antioquia,Hong Kong,Café,19.25,60.47
2018,Abril,Quindío,Hong Kong,Café,7.02,21.86
2018,Abril,Huila,Otros,Café,129.57,405.37
2018,Abril,Cundinamarca,Israel,Café,19.08,62.01
2018,Abril,Quindío,Israel,Café,134.16,426.76
2018,Abril,Risaralda,Israel,Café,249.94,824.9300000000001
2018,Abril,Antioquia,Italia,Café,180.95,559.49
2018,Abril,Caldas,Italia,Café,380.66,1242.26
2018,Abril,Cundinamarca,Italia,Café,59.760000000000005,183.74
2018,Abril,Huila,Italia,Café,460.33000000000004,1407.8500000000001
2018,Abril,Quindío,Italia,Café,517.1899999999999,1612.56
2018,Abril,Risaralda,Italia,Café,161.72,515.97
2018,Abril,Valle del Cauca,Italia,Café,40.69,127.9
2018,Abril,Antioquia,Japón,Café,1702.43,5276.54
2018,Abril,Bogotá,Japón,Café,131.34,538.59
2018,Abril,Caldas,Japón,Café,470.07000000000005,1489.35
2018,Abril,Cauca,Japón,Café,318.36,959.56
2018,Abril,Cundinamarca,Japón,Café,785.46,2778.29
2018,Abril,Huila,Japón,Café,523.7,1610.93
2018,Abril,Quindío,Japón,Café,475.75,1470.54
2018,Abril,Valle del Cauca,Japón,Café,27.84,137.81
2018,Abril,Valle del Cauca,Otros,Café,19.26,68.82
2018,Abril,Caldas,México,Café,190.09,1990.05
2018,Abril,Cundinamarca,México,Café,3.16,27.36
